#;division;division2;stage;game #;observers;#PS;DF;PWoS;A;SO;SOwDT;R;avgCOP/R;first Serve;QScore;Touches;T/Point;;;;;;;;;;;;;;;;;;;;;;;;;
1;open;Pro;Finals;1;yes;53;24,53;24,53;16,98;45,28;11,32;5,66;3,33;0,49;33,1378;156;2,943396226;;;;;;;;;;;;;;;;;;;;;;;;;
2;open;Pro;Finals;2;yes;39;46,15;7,69;7,69;30,77;12,82;15,38;3,5;0,41;31,34;117;3;;;;;;;;;;;;;;;;;;;;;;;;;
3;open;Pro;Finals;1;yes;37;24,32;24,32;18,92;45,95;10,81;5,41;3;0,54;28,875;116;3,135135135;;;;;;;;;;;;;;;;;;;;;;;;;
4;open;Pro;Finals;2;yes;28;17,86;39,29;32,14;25;7,14;17,86;3;0,46;68,405;95;3,392857143;;;;;;;;;;;;;;;;;;;;;;;;;
5;open;Pro;Finals;3;yes;40;45;20;12,5;25;10;10;3,25;0,4;12,5;99;2,475;;;;;;;;;;;;;;;;;;;;;;;;;
6;women;Pro;Finals;1;yes;34;23,53;29,41;8,82;38,24;17,65;8,82;3,33;0,44;55,4006;121;3,558823529;;;;;;;;;;;;;;;;;;;;;;;;;
7;women;Pro;Finals;2;yes;41;26,83;21,95;9,76;43,9;12,2;7,32;3,33;0,54;42,1156;133;3,243902439;;;;;;;;;;;;;;;;;;;;;;;;;
8;women;Pro;Finals;1;yes;37;29,37;18,92;5,41;48,56;24,32;2,7;3;0,38;22,8;114;3,081081081;;;;;;;;;;;;;;;;;;;;;;;;;
9;women;Pro;Finals;2;yes;40;25;27,5;12,5;37,5;12,5;10;3,5;0,5;55;141;3,525;;;;;;;;;;;;;;;;;;;;;;;;;
10;women;Pro;Finals;3;yes;37;21,62;16,22;8,11;54,05;18,92;8,11;3,33;0,38;57,2113;136;3,675675676;;;;;;;;;;;;;;;;;;;;;;;;;
11;women;Pro;Finals;1;;35;31,43;20;14,29;40;20;8,57;4;0,49;38,915;110;3,142857143;;;;;;;;;;;;;;;;;;;;;;;;;
12;women;Pro;Finals;2;;35;22,86;22,86;11,43;48,57;17,14;5,71;3;0,43;40,335;115;3,285714286;;;;;;;;;;;;;;;;;;;;;;;;;
13;women;Pro;Finals;1;yes;39;46,15;10,26;7,69;28,21;15,38;15,38;3;0,33;23,65;107;2,743589744;;;;;;;;;;;;;;;;;;;;;;;;;
14;women;Pro;Finals;2;yes;40;37,5;35;25;27,5;12,5;0;0;0,4;-22,5;89;2,225;;;;;;;;;;;;;;;;;;;;;;;;;
15;open;Pro;Finals;1;yes;40;17,5;30;25;40;10;12,5;3;0,6;56,875;128;3,2;;;;;;;;;;;;;;;;;;;;;;;;;
16;open;Pro;Finals;2;yes;41;17,07;19,51;14,63;53,66;19,51;9,76;3,25;0,56;60,2025;148;3,609756098;;;;;;;;;;;;;;;;;;;;;;;;;
17;open;Pro;Finals;1;;37;24,32;13,51;10,81;54,05;21,62;8,11;3,33;0,41;49,1113;124;3,351351351;;;;;;;;;;;;;;;;;;;;;;;;;
18;open;Pro;Finals;2;;34;32,35;23,53;14,71;38,24;23,53;5,88;3,5;0,35;21,61;99;2,911764706;;;;;;;;;;;;;;;;;;;;;;;;;
19;women;Pro;Finals;1;yes;34;17,65;29,41;17,65;44,12;23,53;8,82;3,33;0,56;54,2181;121;3,558823529;;;;;;;;;;;;;;;;;;;;;;;;;
20;women;Pro;Finals;2;yes;40;32,5;7,5;5;42,5;10;17,5;3,29;0,5;61,325;140;3,5;;;;;;;;;;;;;;;;;;;;;;;;;
21;women;Pro;Finals;3;yes;39;25,64;12,82;0;53,85;30,77;7,69;3;0,51;45,445;142;3,641025641;;;;;;;;;;;;;;;;;;;;;;;;;
22;women;Pro;Finals;1;;34;29,41;20,59;5,88;38,24;14,71;11,76;3,25;0,44;51,02;117;3,441176471;;;;;;;;;;;;;;;;;;;;;;;;;
23;women;Pro;Finals;2;;37;18,92;35,14;24,32;32,43;10,81;13,51;3,2;0,54;63,437;115;3,108108108;;;;;;;;;;;;;;;;;;;;;;;;;
24;open;Pro;Finals;1;yes;31;35,48;32,36;22,58;29,03;12,9;3,23;3;0,45;-4,735;74;2,387096774;;;;;;;;;;;;;;;;;;;;;;;;;
25;open;Pro;Finals;2;yes;37;27,03;29,73;24,32;29,73;13,51;13,51;3;0,49;46,405;116;3,135135135;;;;;;;;;;;;;;;;;;;;;;;;;
26;coed;Pro;Semis;1;yes;31;12,9;41,94;38,71;32,26;3,23;12,9;3,5;0,52;52,165;98;3,161290323;;;;;;;;;;;;;;;;;;;;;;;;;
27;coed;Pro;Semis;2;yes;35;17,14;34,29;31,43;40;5,71;8,57;3,33;0,54;39,6081;101;2,885714286;;;;;;;;;;;;;;;;;;;;;;;;;
28;coed;Pro;Finals;1;no;26;30,77;26,92;23,08;42,31;15,38;0;0;0,38;-7,12;59;2,269230769;;;;;;;;;;;;;;;;;;;;;;;;;
29;coed;Pro;Finals;2;no;27;22,22;29,63;18,52;40,74;11,11;7,41;4,5;0,48;51,59;86;3,185185185;;;;;;;;;;;;;;;;;;;;;;;;;
30;coed;Pro;Finals;1;yes;34;29,41;23,53;20,59;32,35;5,88;14,71;3,6;0,47;58,401;107;3,147058824;;;;;;;;;;;;;;;;;;;;;;;;;
31;coed;Pro;Finals;2;yes;36;16,67;33,33;25;41,67;8,33;8,33;4,33;0,5;53,5664;121;3,361111111;;;;;;;;;;;;;;;;;;;;;;;;;
32;coed;Pro;Finals;3;yes;34;14,71;20,59;8,82;50;8,82;14,71;3,2;0,5;78,5395;132;3,882352941;;;;;;;;;;;;;;;;;;;;;;;;;
33;coed;Pro;Finals;1;yes;36;27,78;27,78;22,22;41,67;19,44;2,78;3;0,44;9,45;101;2,805555556;;;;;;;;;;;;;;;;;;;;;;;;;
34;coed;Pro;Finals;2;yes;37;29,73;16,22;13,51;45,95;16,22;8,11;3;0,46;32,915;114;3,081081081;;;;;;;;;;;;;;;;;;;;;;;;;
35;women;Pro;Finals;1;no;34;29,41;8,82;2,94;47,06;17,65;14,71;3,2;0,44;58,397;126;3,705882353;;;;;;;;;;;;;;;;;;;;;;;;;
36;women;Pro;Finals;2;no;34;2,94;26,47;20,59;55,88;23,52;14,71;3;0,59;72,66;142;4,176470588;;;;;;;;;;;;;;;;;;;;;;;;;
37;open;Elite;Finals;1;yes;47;36,17;25,53;19,15;29,79;12,77;8,51;3,75;0,43;22,1775;133;2,829787234;;;;;;;;;;;;;;;;;;;;;;;;;
38;open;Elite;Finals;2;yes;48;22,92;31,25;29,17;41,67;16,67;4,17;3;0,48;17,085;137;2,854166667;;;;;;;;;;;;;;;;;;;;;;;;;
39;open;Pro;Semis;1;yes;39;33,33;23,08;17,95;38,46;17,95;5,13;3;0,41;10,845;106;2,717948718;;;;;;;;;;;;;;;;;;;;;;;;;
40;open;Pro;Semis;2;yes;35;37,14;25,71;22,86;34,29;8,57;2,86;3;0,46;-9,63;76;2,171428571;;;;;;;;;;;;;;;;;;;;;;;;;
41;open;Pro;Quarters;1;yes;40;32,5;17,5;17,5;42,5;15;7,5;3;0,6;21,25;110;2,75;;;;;;;;;;;;;;;;;;;;;;;;;
42;open;Pro;Quarters;2;yes;40;27,5;22,5;15;37,5;22,5;12,5;3;0,63;51,25;140;3,5;;;;;;;;;;;;;;;;;;;;;;;;;
43;open;Pro;Quarters;3;yes;45;24,44;13,33;13,33;51,11;17,78;11,11;3,6;0,51;60,841;159;3,533333333;;;;;;;;;;;;;;;;;;;;;;;;;
44;open;Pro;Quarters;1;yes;52;32,69;25;21,15;32,69;13,46;9,62;3;0,52;24,64;141;2,711538462;;;;;;;;;;;;;;;;;;;;;;;;;
45;open;Pro;Quarters;2;yes;35;17,14;45,71;42,86;31,43;14,29;5,71;3;0,57;15,34;94;2,685714286;;;;;;;;;;;;;;;;;;;;;;;;;
46;open;Pro;Quarters;3;yes;33;30,3;27,27;18,18;30,3;9,09;12,12;3;0,48;41,14;100;3,03030303;;;;;;;;;;;;;;;;;;;;;;;;;
47;open;Pro;Place 3 Game;1;no;19;15,79;31,58;26,32;47,37;10,53;5,26;4;0,58;35,9025;61;3,210526316;;;;;;;;;;;;;;;;;;;;;;;;;
48;open;Pro;Place 3 Game;2;no;38;5,26;26,32;23,68;60,53;13,16;7,89;3;0,66;45,12;142;3,736842105;;;;;;;;;;;;;;;;;;;;;;;;;
49;women;Pro;Finals;1;yes;38;23,68;28,95;13,16;39,47;18,42;7,89;3;0,5;44,595;122;3,210526316;;;;;;;;;;;;;;;;;;;;;;;;;
50;women;Pro;Finals;2;yes;39;15,38;23,08;10,26;53,85;25,64;7,69;3;0,49;55,31;151;3,871794872;;;;;;;;;;;;;;;;;;;;;;;;;
51;women;Pro;Place 3 Game;1;no;39;10,26;38,46;12,82;35,9;10,26;15,38;3,66;0,38;88,5358;171;4,384615385;;;;;;;;;;;;;;;;;;;;;;;;;
52;women;Pro;Place 3 Game;2;no;48;25;33,33;16,67;33,33;10,42;8,33;3;0,31;39,985;152;3,166666667;;;;;;;;;;;;;;;;;;;;;;;;;
53;women;Pro;Semis;1;no;44;31,82;27,27;13,64;36,36;15,91;4,55;3;0,68;16,145;124;2,818181818;;;;;;;;;;;;;;;;;;;;;;;;;
54;women;Pro;Semis;2;yes;37;35,14;27,03;8,11;35,14;21,62;2,7;4;0,65;11,26;106;2,864864865;;;;;;;;;;;;;;;;;;;;;;;;;
55;women;Pro;Semis;3;yes;40;30;22,5;15;35;10;12,5;3,4;0,7;51,25;134;3,35;;;;;;;;;;;;;;;;;;;;;;;;;
56;coed;;;1;no;26;15,38;30,77;26,92;46,15;19,23;7,69;4;0,58;46,34;92;3,538461538;;;;;;;;;;;;;;;;;;;;;;;;;
57;coed;;;2;no;23;13,04;47,83;43,48;30,43;8,7;8,7;3,5;0,39;30,56;65;2,826086957;;;;;;;;;;;;;;;;;;;;;;;;;
58;coed;;;1;no;36;19,44;30,56;27,78;47,22;19,44;2,78;3;0,47;19,59;106;2,944444444;;;;;;;;;;;;;;;;;;;;;;;;;
59;coed;;;2;no;28;3,57;25;17,86;60,71;28,57;10,71;3,33;0,68;64,7668;116;4,142857143;;;;;;;;;;;;;;;;;;;;;;;;;
60;coed;;;1;no;36;25;30,56;22,22;36,11;16,67;8,33;3,67;0,47;40,0161;116;3,222222222;;;;;;;;;;;;;;;;;;;;;;;;;
61;coed;;;2;no;25;28;44;40;24;0;4;3;0,48;-4,5;116;4,64;;;;;;;;;;;;;;;;;;;;;;;;;
62;coed;Pro;Finals;1;yes;41;19,51;34,15;26,83;34,15;12,2;12,2;3,6;0,51;60,8125;142;3,463414634;;;;;;;;;;;;;;;;;;;;;;;;;
63;coed;Pro;Finals;2;yes;40;22,5;17,5;12,5;52,5;30;7,5;3,33;0,43;48,725;141;3,525;;;;;;;;;;;;;;;;;;;;;;;;;
64;coed;Pro;Finals;3;yes;38;10,53;31,58;21,05;50;21,05;7,89;3;0,53;46,4325;141;3,710526316;;;;;;;;;;;;;;;;;;;;;;;;;
65;coed;Pro;Finals;1;yes;25;40;32;8;16;8;12;3;0,4;27,5;64;2,56;;;;;;;;;;;;;;;;;;;;;;;;;
66;coed;Pro;Finals;2;yes;24;33,33;29,17;12,5;37,5;16,67;0;0;0,46;-1,66;59;2,458333333;;;;;;;;;;;;;;;;;;;;;;;;;
67;coed;Pro;Semis;1;yes;33;15,15;18,18;12,12;57,58;18,18;9,09;4;0,52;67,4975;129;3,909090909;;;;;;;;;;;;;;;;;;;;;;;;;
68;coed;Pro;Semis;2;yes;38;10,53;31,58;23,68;44,74;13,16;13,16;3,4;0,58;67,5115;145;3,815789474;;;;;;;;;;;;;;;;;;;;;;;;;
69;coed;;Finals;1;no;36;30,56;19,44;19,44;38,89;13,89;11,11;3,75;0,39;44,1575;114;3,166666667;;;;;;;;;;;;;;;;;;;;;;;;;
70;coed;;Finals;2;no;26;23,08;30,77;30,77;42,31;7,69;3,85;4;0,5;17,895;67;2,576923077;;;;;;;;;;;;;;;;;;;;;;;;;
71;coed;;Semis;1;no;28;25;32,14;17,86;39,29;10,71;3,57;4;0,18;25,705;80;2,857142857;;;;;;;;;;;;;;;;;;;;;;;;;
72;coed;;Semis;2;no;23;30,43;43,48;26,09;21,74;4,35;4,35;3;0,43;5,775;55;2,391304348;;;;;;;;;;;;;;;;;;;;;;;;;
73;coed;;Semis;3;no;27;14,81;33,33;29,63;48,15;11,11;3,7;3;0,44;22,1175;75;2,777777778;;;;;;;;;;;;;;;;;;;;;;;;;
