#;division;division2;stage;game #;observers;#PS;DF;PWoS;A;SO;SOwDT;R;avgCOP/R;first Serve;QScore;Touches;T/Point;;;;;;;;;;;;;;;;;;;;;;;;;
1;open;;Finals;1;yes;38;23,68;28,95;15,79;39,47;7,89;7,89;3,33;0,53;44,5687;120;3,157894737;;;;;;;;;;;;;;;;;;;;;;;;;
2;open;;Finals;2;yes;33;27,27;24,24;18,18;24,24;6,06;24,24;3,63;0,61;98,8312;129;3,909090909;;;;;;;;;;;;;;;;;;;;;;;;;
3;open;;Semis;1;no;40;27,5;15;10;42,5;25;15;3,33;0,43;64,95;156;3,9;;;;;;;;;;;;;;;;;;;;;;;;;
4;open;;Semis;2;no;34;17,65;38,24;29,41;29,41;14,71;14,71;3,2;0,59;63,1045;116;3,411764706;;;;;;;;;;;;;;;;;;;;;;;;;
5;women;;Finals;1;no;33;27,27;24,24;12,12;30,3;18,18;18,18;3,17;0,39;71,5006;123;3,727272727;;;;;;;;;;;;;;;;;;;;;;;;;
6;women;;Finals;2;no;37;40,54;24,32;10,81;24,32;16,22;10,81;3,25;0,38;26,1475;103;2,783783784;;;;;;;;;;;;;;;;;;;;;;;;;
7;open;;Quarters;1;no;40;50;37,5;35;10;5;2,5;3;0,3;-48,75;50;1,25;;;;;;;;;;;;;;;;;;;;;;;;;
8;open;;Quarters;2;no;50;38;26;18;20;10;16;4,13;0,42;57,58;170;3,4;;;;;;;;;;;;;;;;;;;;;;;;;
9;open;;Quarters;3;no;49;44,9;20,41;12,24;28,57;10,2;6,12;3;0,37;-3,12;113;2,306122449;;;;;;;;;;;;;;;;;;;;;;;;;
10;open;;Semis;1;yes;35;17,14;31,43;20;25,71;17,14;25,71;4,22;0,6;133,8562;177;5,057142857;;;;;;;;;;;;;;;;;;;;;;;;;
11;open;;Semis;2;yes;32;15,63;18,75;6,25;46,88;25;18,75;3,5;0,69;94,8425;147;4,59375;;;;;;;;;;;;;;;;;;;;;;;;;
12;open;;Place 3 Game;1;no;33;18,18;39,39;21,21;33,33;12,12;9,09;3,33;0,45;51,5597;113;3,424242424;;;;;;;;;;;;;;;;;;;;;;;;;
13;open;;Place 3 Game;2;no;39;28,21;43,59;23,08;15,38;5,13;12,81;3,2;0,36;45,397;111;2,846153846;;;;;;;;;;;;;;;;;;;;;;;;;
14;open;Contender Pro;Finals;1;;40;25;55;42,5;17,5;5;2,5;4;0,35;-3,75;87;2,175;;;;;;;;;;;;;;;;;;;;;;;;;
15;open;Contender Pro;Finals;2;;34;14,71;44,12;29,41;32,35;8,82;8,82;3;0,59;40,2825;103;3,029411765;;;;;;;;;;;;;;;;;;;;;;;;;
16;open;Contender Pro;Finals;3;;36;33,33;27,78;19,44;27,78;2,78;11,11;3,25;0,44;33,0625;94;2,611111111;;;;;;;;;;;;;;;;;;;;;;;;;
17;open;Contender Pro;Quarters;1;no;43;30,23;46,51;25,58;18,6;9,3;4,65;3,5;0,42;10,06;102;2,372093023;;;;;;;;;;;;;;;;;;;;;;;;;
18;open;Contender Pro;Quarters;2;no;37;24,32;29,73;21,62;24,32;16,22;21,62;4;0,43;104,53;156;4,216216216;;;;;;;;;;;;;;;;;;;;;;;;;
19;open;Contender Pro;Quarters;3;no;39;20,51;33,33;17,95;30,77;15,38;15,38;3;0,51;72,36;138;3,538461538;;;;;;;;;;;;;;;;;;;;;;;;;
