#,division,division2,stage,game #,observers,#PS,DF,PWoS,A,SO,SOwDT,R,avgCOP/R,first Serve,QScore,Touches,T/Point,Ratio,,
1,coed,Pro,Finals,1,yes,35,20,34.29,25.71,28.57,17.14,17.14,4,0.42,88.92,131,3.742857143,0.732824427,,
2,coed,Pro,Finals,2,yes,33,18.18,24.24,24.24,42.42,24.24,15.15,3,0.48,66.74,122,3.696969697,0.729508197,,
3,open,Pro,Semis,1,yes,35,22.86,22.86,17.14,37.14,11.43,17.14,3.17,0.51,77.5438,122,3.485714286,0.713114754,,
4,open,Pro,Semis,2,yes,37,32.43,35.14,27.03,24.32,8.11,8.11,3,0.49,13.995,87,2.351351351,0.574712644,,
5,women,Pro,Finals,1,yes,41,9.76,21.95,4.88,60.98,17.07,7.32,4.33,0.59,68.0956,172,4.195121951,0.761627907,,
6,women,Pro,Finals,2,yes,30,6.67,30,6.67,40,20,23.33,3,0.6,99.1575,144,4.8,0.791666667,,
7,open,Pro,Finals,1,yes,26,11.54,23.08,15.38,38.46,7.69,26.92,3.43,0.42,118.4906,121,4.653846154,0.785123967,,
8,open,Pro,Finals,2,yes,32,21.88,34.38,15.63,34.38,21.88,9.38,3.33,0.56,54.0354,115,3.59375,0.72173913,,
9,coed,Pro,Round of 32,1,no,22,22.73,50,36.36,22.73,13.64,4.55,5,0.5,20.705,60,2.727272727,0.633333333,,
10,coed,Pro,Round of 16,1,yes,26,15.38,46.15,26.92,23.08,3.85,15.38,3,0.35,65.565,86,3.307692308,0.697674419,,
11,coed,Pro,Quarters,1,yes,21,19.05,14.29,9.52,57.14,14.29,9.52,4,0.380952381,71.0575,79,3.761904762,0.734177215,,
12,women,Pro,Round of 16,1,no,29,13.79,13.79,0,44.83,10.34,27.59,3.75,0.34,128.72,151,5.206896552,0.80794702,,
13,women,Pro,Round of 16,2,no,29,3.45,17.24,10.34,72.41,20.69,6.9,3,0.41,55.4475,123,4.24137931,0.764227642,,
14,women,Pro,Placement,1,no,28,25,32.14,10.71,28.57,14.29,14.29,3.25,0.46,66.7975,102,3.642857143,0.725490196,,
15,women,Contender/Pro,Semis,1,no,40,15,10,5,57.5,17.5,17.5,3.29,0.43,87.575,170,4.25,0.764705882,,
16,women,Contender/Pro,Semis,2,no,40,10,25,12.5,55,17.5,10,3.5,0.5,67.5,161,4.025,0.751552795,,
17,women,Contender/Pro,Semis,3,yes,40,32.5,17.5,5,42.5,17.5,7.5,3.33,0.48,33.725,132,3.3,0.696969697,,
18,women,Contender/Pro,Finals,1,yes,36,16.67,16.67,8.33,50,16.67,16.67,3.5,0.58,88.3425,156,4.333333333,0.769230769,,
19,women,Contender/Pro,Finals,2,yes,40,7.5,12.5,10,50,15,30,3.33,0.43,125.525,210,5.25,0.80952381,,
20,open,Pro,Finals,2,yes,39,23.08,33.33,23.08,35.9,17.95,7.69,3.33,0.54,37.7127,124,3.179487179,0.685483871,,
21,open,Pro,Finals,3,yes,37,24.32,18.92,16.22,40.54,18.92,16.22,4.33,0.51,90.9826,156,4.216216216,0.762820513,,
22,coed,Pro,Semis,1,yes,25,16,8,4,56,32,20,3.4,0.4,96.5,124,4.96,0.798387097,,
23,coed,Pro,Semis,2,yes,30,10,26.67,3.33,56.67,16.67,6.67,3.5,0.53,60.01,125,4.166666667,0.76,,
24,coed,Pro,Semis,3,yes,25,8,16,8,52,28,24,4,0.6,124.5,145,5.8,0.827586207,,
25,coed,Pro,Finals,1,yes,31,6.45,29.03,9.68,54.84,19.35,9.68,3,0.45,65.0875,127,4.096774194,0.755905512,,
26,coed,Pro,Finals,2,yes,29,17.24,27.59,24.14,51.72,10.34,3.45,3,0.38,26.125,83,2.862068966,0.65060241,,
27,open,Contender,Round of 16,1,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
28,open,Contender,Round of 16,2,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
29,open,Contender,Quarters,1,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
30,open,Contender,Group Stage,1,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
31,open,Pro,Round of 32,1,no,28,14.29,32.14,25,42.86,17.86,10.71,3.33,0.54,54.9468,102,3.642857143,0.725490196,,
32,open,Pro,Round of 32,2,no,22,13.64,40.91,31.82,40.91,22.73,4.55,3,0.59,23.195,71,3.227272727,0.690140845,,
33,open,Pro,Round of 16,1,no,30,20,20,10,46.67,16.67,13.33,4.25,0.5,87.4875,129,4.3,0.76744186,,
34,open,Pro,Round of 16,2,no,27,14.81,18.52,11.11,33.33,14.81,33.33,3.22,0.59,129.4551,133,4.925925926,0.796992481,,
35,women,Pro,Quarters,2,no,32,3.13,34.38,15.63,50,21.88,12.5,3,0.66,69.8375,132,4.125,0.757575758,,
36,open,Pro,Quarters,1,yes,27,12.81,25.93,18.52,55.56,18.52,3.7,6,0.48,44.8275,100,3.703703704,0.73,,
37,open,Pro,Quarters,2,yes,28,7.14,17.86,3.57,60.71,28.57,14.29,4,0.46,90.73,142,5.071428571,0.802816901,,
38,women,Pro,Semis,1,yes,39,17.95,20.51,10.26,41.03,17.95,20.51,3.63,0.56,102.2088,179,4.58974359,0.782122905,,
39,women,Pro,Semis,2,yes,39,20.51,15.38,7.69,48.72,23.08,15.38,3.5,0.46,82.62,159,4.076923077,0.754716981,,
40,open,Pro,Semis,1,yes,29,27.59,41.38,27.59,20.69,6.9,10.34,3,0.55,30.92,75,2.586206897,0.613333333,,
41,open,Pro,Semis,2,yes,37,24.32,24.32,18.92,35.14,8.11,16.22,3.83,0.51,80.1726,137,3.702702703,0.729927007,,
42,women,Pro,Finals,1,yes,39,12.82,30.77,15.38,46.15,17.95,10.26,3.5,0.46,64.955,154,3.948717949,0.746753247,,
43,women,Pro,Finals,2,yes,33,12.12,18.18,3.03,54.55,18.18,15.15,3,0.55,77.345,135,4.090909091,0.755555556,,
44,open,Pro,Finals,1,yes,29,3.45,37.93,20.69,51.72,6.9,6.9,3,0.41,45.0975,103,3.551724138,0.718446602,,
45,open,Pro,Finals,2,yes,33,18.18,24.24,18.18,45.45,12.12,12.12,3.25,0.36,65.225,122,3.696969697,0.729508197,,
46,coed,Pro,Round of 16,1,no,19,15.79,31.58,15.79,26.32,15.79,26.32,3.6,0.42,120.1445,86,4.526315789,0.779069767,,
47,coed,Pro,Round of 16,2,no,30,10,16.67,10,60,36.67,13.33,4,0.43,86.655,143,4.766666667,0.79020979,,
48,coed,Pro,Round of 16,3,no,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
49,coed,Pro,Quarters,1,no,30,13.33,33.33,20,33.33,16.67,20,3.5,0.53,99.1675,127,4.233333333,0.763779528,,
50,coed,Pro,Quarters,2,no,24,8.33,20.83,12.5,25.83,16.67,25,3,0.63,102.9175,108,4.5,0.777777778,,
51,coed,Pro,Quarters,2,yes,24,16.67,29.17,12.5,41.67,20.83,12.5,4,0.67,82.0825,102,4.25,0.764705882,,
52,coed,Pro,Semis,1,yes,32,3.13,34.38,12.5,34.38,12.5,28.13,3.11,0.69,115.1368,166,5.1875,0.807228916,,
53,coed,Pro,Semis,2,yes,34,11.76,32.35,11.76,32.35,17.65,23.53,3.38,0.53,107.3264,162,4.764705882,0.790123457,,
54,coed,Pro,Finals,1,yes,39,12.82,20.51,5.13,43.59,15.38,23.08,3.44,0.49,107.1502,195,5,0.8,,
55,coed,Pro,Finals,2,yes,31,12.9,9.68,3.23,48.39,6.45,29.03,3.56,0.58,128.1068,154,4.967741935,0.798701299,,
56,coed,Pro,Finals,3,yes,34,20.59,17.56,8.82,32.35,14.71,29.41,3.8,0.47,133.373,168,4.941176471,0.797619048,,
57,coed,Pro,Quarters,1,no,30,10,13.33,6.67,56.67,13.33,20,4.17,0.63,113.4,149,4.966666667,0.798657718,,
58,coed,Pro,Quarters,2,no,23,26.09,4.35,0,43.48,21.74,26.09,3.67,0.39,108.0253,112,4.869565217,0.794642857,,
59,open,Pro,Round of 32,1,no,32,28.31,25,12.5,31.25,6.25,15.63,3.4,0.41,66.207,105,3.28125,0.695238095,,
60,open,Pro,Round of 32,2,no,28,10.71,7.14,3.57,50,14.29,32.14,3.11,0.46,123.7079,146,5.214285714,0.808219178,,
61,open,Pro,Losers Bracket,1,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
62,open,Pro,Group Stage,1,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
63,open,Pro,Group Stage,2,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
64,open,Pro,Group Stage,1,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
65,open,Pro,Group Stage,2,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
66,open,Pro,Group Stage,1,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
67,open,Pro,Group Stage,2,,,,,,,,,,,42.5,,#DIV/0!,#DIV/0!,,
68,women,Pro,Round of 16,1,no,25,16,28,12,44,8,12,3.67,0.56,76.54,92,3.68,0.72826087,,
