#,division,division2,stage,game #,observers,#PS,DF,PWoS,A,SO,SOwDT,R,avgCOP/R,first Serve,QScore,Touches,T/Point,Ratio
5,open,Pro,Group Stage,1,,31,8,10,8,11,5,2,3,0.39,39.5,85,2.741935484,0.635294118
6,open,Pro,Group Stage,2,,29,10,5,3,8,2,6,3.3,0.38,56.8,98,3.379310345,0.704081633
7,open,Pro,Round of 32,2,no,26,34.62,11.54,3.85,34.62,19.23,19.23,3.8,0.31,71.719,107,4.115384615,0.757009346
8,open,Pro,Round of 32,3,no,27,14.81,25.93,11.11,40.74,11.11,18.52,3.6,0.41,96.2095,115,4.259259259,0.765217391
9,open,Pro,Round of 16,1,no,22,18.18,27.27,13.64,50,18.18,4.55,3,0.55,40.24,72,3.272727273,0.694444444
10,open,Pro,Round of 16,2,no,32,21.88,12.5,9.38,50,12.5,15.63,3,0.38,72.815,122,3.8125,0.737704918
16,coed,Pro,Round of 16,1,no,28,7.14,10.71,3.57,64.29,25,17.86,3.6,0.46,96.081,137,4.892857143,0.795620438
17,coed,Pro,Quarters,1,no,22,31.82,18.18,13.64,31.82,13.64,18.18,3.75,0.32,72.945,83,3.772727273,0.734939759
18,coed,Pro,Semis,1,no,29,20.69,27.59,20.69,44.83,10.34,6.9,3,0.38,39.58,88,3.034482759,0.670454545
19,coed,Pro,Semis,2,no,35,8.57,28.57,20,51.43,14.29,11.43,3,0.6,60.3625,131,3.742857143,0.732824427
20,coed,Pro,Place 3 Game,1,yes,12,0,25,0,75,33.33,0,0,0.08,42.5,54,4.5,0.777777778
21,coed,Pro,Place 3 Game,2,yes,22,13.64,18.18,9.09,40.91,4.55,27.27,3.33,0.36,116.2641,99,4.5,0.777777778
22,open,Pro,Semis,1,no,40,20,40,32.5,27.5,10,12.5,3.4,0.53,53.75,134,3.35,0.701492537
23,open,Pro,Semis,2,no,37,21.62,18.92,13.51,35.14,8.11,24.32,3.89,0.51,116.7048,172,4.648648649,0.784883721
24,open,Pro,Finals,1,yes,40,22.5,25,12.5,40,7.5,12.5,3.4,0.53,68.75,137,3.425,0.708029197
25,open,Pro,Finals,2,,35,25.71,25.71,20,28.57,11.43,20,3,0.51,76.08,113,3.228571429,0.690265487
26,women,Pro,Finals,1,no,35,11.43,14.29,2.86,54.29,17.14,20,3.71,0.63,103.8425,174,4.971428571,0.798850575
27,women,Pro,Finals,2,no,35,5.72,22.86,8.57,60,28.57,11.43,3.75,0.66,78.2175,165,4.714285714,0.787878788
28,women,Pro,Finals,3,no,42,11.9,33.33,9.52,42.86,14.29,11.9,3.4,0.48,74.035,170,4.047619048,0.752941176
29,coed,Pro,Semis,1,yes,26,34.62,23.08,11.54,11.54,7.69,11.54,4,0.384615385,48.65,82,3.153846154,0.682926829
30,coed,Pro,Semis,2,yes,31,32.26,16.13,6.45,29.03,9.68,22.58,3,0.35483871,69.43,111,3.580645161,0.720720721
31,coed,Pro,Finals,1,yes,22,9.09,18.18,13.64,50,27.27,22.73,4,0.59,119.7825,121,5.5,0.818181818
32,coed,Pro,Finals,2,yes,21,23.81,19.05,4.76,33.33,4.76,23.81,3,0.43,89.405,82,3.904761905,0.743902439
33,women,Pro,Group Stage,1,yes,28,7.14,21.43,7.14,64.29,21.43,7.14,4,0.535714286,65.705,121,4.321428571,0.768595041
34,women,Pro,Group Stage,2,yes,28,3.57,10.71,7.14,57.14,28.57,28.57,3.25,0.607142857,120.175,153,5.464285714,0.816993464
35,open,Pro,Round of 16,1,no,33,15.15,57.58,48.48,21.21,3.03,6.06,3,0.42,11.4425,81,2.454545455,0.592592593
36,open,Pro,Round of 16,2,no,39,17.95,43.59,35.9,28.21,17.95,10.26,3.25,0.54,40.5875,116,2.974358974,0.663793103
37,open,Pro,Round of 16,3,no,38,18.42,36.84,23.68,36.84,15.79,7.89,4,0.58,49.72,129,3.394736842,0.705426357
38,women,Pro,Round of 16,1,no,41,9.76,24.39,17.07,46.34,19.51,19.51,3.63,0.59,101.1263,191,4.658536585,0.785340314
39,women,Pro,Round of 16,2,no,34,8.82,35.29,8.82,35.29,17.65,20.59,3.71,0.5,106.3889,169,4.970588235,0.798816568
40,open,Pro,Quarters,1,yes,37,21.62,17.03,21.62,43.24,21.62,8.11,3,0.62,41.025,115,3.108108108,0.67826087
41,open,Pro,Quarters,2,yes,37,18.92,21.62,8.11,37.84,10.81,21.62,3.25,0.57,97.225,147,3.972972973,0.74829932
